Name,Ratings,Review,Cost
shubham r.,4.0 out of 5 stars,"
I loved everything about this controller: I wanted a white editionBut the only issue is the Trigger Motors make noises while vibrating (It's an audible sound not like the normal sound of xbox motors)I don't know if it may be happening due to lack of space between plastic body and motorApart from these...…..I loved it <3
",4180.0
Ritz,5.0 out of 5 stars,"
Wonderful product. It pairs seamlessly with Windows 10 and definitely the XBox One. The body is textured for grip and is way better than the previous one. They have included a couple of Duracell batteries. There is a 3.5mm jack for direct output from the controller
",4180.0
Shankey,5.0 out of 5 stars,"
Best controler vibration moter is awesome I have used gamesir g4 and ps4 controller too but the ergonomic of x box controler is way good. I really recommend for pc gamers to buy the controller
",4180.0
Mrunal,5.0 out of 5 stars,"
Reduces the wrist pain and fatigue while playing the PC games. Much convenient than keyboard and mouse on wrists and fingers.
",4180.0
Chris A.,5.0 out of 5 stars,"
Best controller ever. Genuine product from amazon and fast delivery. If you dont have bluetooth compatibility in your desktop PC just connect your controller with a micro USB cable which you use to charge your phone. No battery required if played by wired connection. No drivers required to be downloaded. I'm using windows 10 and its just plug and play. Microsoft will automatically download the drivers. Very easy to connect and amazing product.
",4180.0
Joseph Milan Saji,4.0 out of 5 stars,"
Been using it for a month.. No issues so far .Only drawback is that is not rechargeable and we have to keep on changing batteries or buy rechargeable batteries. The recharge kit of Xbox cost around another 3000(which is really expensive in my opinion). Otherwise all is well.
",4180.0
Affan khadir,5.0 out of 5 stars,"
An amazing controller. Connects seemlessly. Tactile buttons. The new vibration motors are very responsive. Got it for 2999/- which is a steal for this
",4180.0
Amazon Customer,5.0 out of 5 stars,"
It fits seamlessly into hands and is quite comfortable. It's lightweight and I've played hours without tiring. Just plug and play, no need for any installation. Triggers and buttons are responsive and feel sturdy, you never feel that you'll break something if you mash the buttons hard. Really great for Third person, racing games and FIFA
",4180.0
Gagan Singh,3.0 out of 5 stars,"
Fine piece though.360 wired one lasted for 4-5 years or maybe more, I don’t remember exactly.Let’s see about this one.Both sticks are making different sound though.
",4180.0
umeshv,5.0 out of 5 stars,"
Very good product, I am using this as wired gamepad with separately purchased USB cable works just fine. Very happy with the keys nice and smooth. Using this on win10.
",4180.0
Amazon Customer,5.0 out of 5 stars,"
For a while, I considered cheaper alternatives to buying this controller. I'm glad I went with this one. It feels better and works better than the others. Worth the extra amount spent.
",4180.0
us,5.0 out of 5 stars,"
The product is very good. I just loved it. It's worth the money. My gaming mode is alwaz on with this controller..
",4180.0
Amazon Customer,2.0 out of 5 stars,"
First controller received had left and right analog stick drift out of the box. Opted for replacement. Second controller received worked well out of the box and developed left and right stick drift after 1 week of minimal use. The product looks and feels genuine but my experience tells otherwise..
",4180.0
Rob,5.0 out of 5 stars,"
One word: BRILLIANT. Works seamlessly with my Surface Pro 6. Don't even think of wasting your money on another gamepad for windows 10.
",4180.0
jayesh aggarwal,5.0 out of 5 stars,"
A beautiful controller with great textured grip.
",4180.0
Syed Ejaz Ali,5.0 out of 5 stars,"
A great controller indeed. feels good in hands, trigger rumble is something new and i do like it a lot. buttons have a good feel to it when pressed.Fully satisfied with the purchase
",4180.0
Rinjan Chatterjee,3.0 out of 5 stars,"
After using it for like around 4 months I'm writing this review.Keeps on disconnecting from the Bluetooth.Otherwise we'll built quality and supports most of the games but the issue with connectivity is the thing which really disappoints me.
",4180.0
joejones,5.0 out of 5 stars,"
Simple and flawless controller my first xbopx controller for my PC.....People who have issues connecting via bluetooth in windows 10 ( if they get PIN ) Plz buy (Bluetooth 4.0 USB driver) it will work perfectly
",4180.0
Michael MC,5.0 out of 5 stars,"
Good. Works flawlessly!! It includes 2 batteries. But I am using it with cable.Looks and feel beautiful too. Using it for NBA playgrounds and racing games.
",4180.0
Narender Kumar Tomar,5.0 out of 5 stars,"
I liked it offcourse well i want to tell one important thing too if you are going to buy a controller and have a budget to buy xbox one controller just buy it dont even think of xbox 360 controller even if its orignal it has many problems of battery pack  xbox one doesn't have any problems like that
",4180.0
Secret Senpai,1.0 out of 5 stars,"
it shows that it's connected but not working in games, sometimes it not even connecting, such a worthless product
",4180.0
CVKrishna,5.0 out of 5 stars,"
It’s really Awesome and got in best deal. X Box One X Controller (White) is something different by look wise and you can buy this when toy have black already hence it makes difference while playing with multiple players. It’s Really nice
",4180.0
MSK,5.0 out of 5 stars,"
Well, it's a tried and tested equipment - so no surprises. Everything is as expected.
",4180.0
